Manufacturer,Model,City,Fueltype,kms,color,pwr_steering,man_year,price
Maruti Suzuki, Swift Dzire LDi ,Kolkata,Diesel,"62,000 KM",Blue,Yes,2012,"3,50,000"
Hyundai, i20 Magna 1.2 ,Kolkata,Petrol,"47,000 KM",White,Yes,2010,"2,58,000"
Mahindra, Scorpio SLE BS IV ,Kolkata,Diesel,"55,000 KM",Black,Yes,2010,"4,40,000"
Maruti Suzuki, Alto LXI BS IV ,Kolkata,Petrol,"30,000 KM",Maroon,Yes,2011,"1,80,000"
Chevrolet, Beat LS Diesel ,Kolkata,Diesel,"40,000 KM",Black,Yes,2012,"1,60,000"
Hyundai, Getz GVS ,Kolkata,Petrol,"28,500 KM",Red,Yes,2007,"1,25,000"
Maruti Suzuki, Omni 8 STR BS II ,Kolkata,Petrol,"45,000 KM",Gold,No,2000,"75,000"
Maruti Suzuki, Wagon R 1.0 MC VXI ,Kolkata,Petrol,"42,000 KM",Blue,Yes,2011,"2,40,000"
Hyundai, i10 Magna 1.2 Kappa2 ,Kolkata,Petrol,"32,000 KM",Maroon,Yes,2015,"2,90,000"
Maruti Suzuki, Swift VDi ABS ,Kolkata,Diesel,"37,856 KM",Purple,Yes,2015,"4,48,000"
Maruti Suzuki, Zen Estilo LX ,Kolkata,Petrol,"88,000 KM",Red,Yes,2007,"1,25,000"
Maruti Suzuki, Swift DZire Tour LDi ,Kolkata,Diesel,"55,000 KM",White,Yes,2015,"4,10,000"
Maruti Suzuki, Omni 8 STR BS IV ,Kolkata,Petrol,"54,200 KM",White,No,2010,"1,20,000"
Hyundai, Getz Prime 1.3 GLS ,Kolkata,Petrol,"25,600 KM",Blue,Yes,2008,"1,30,000"
Hyundai, Eon Era + ,Kolkata,Petrol,"23,180 KM",Blue,Yes,2012,"2,00,000"
Hyundai, i10 Magna 1.2 ,Kolkata,Petrol,"28,000 KM",Blue,Yes,2009,"1,75,000"
Nissan, Sunny XV SPL Edition Diesel ,Kolkata,Diesel,"24,212 KM",Silver,Yes,2015,"4,41,101"
Mahindra, Quanto C4 ,Kolkata,Diesel,"32,000 KM",White,Yes,2013,"3,85,000"
Honda, Amaze S MT Diesel ,Kolkata,Diesel,"58,000 KM",Maroon,Yes,2013,"3,40,000"
Maruti Suzuki, Ritz Vdi BS IV ,Kolkata,Diesel,"36,000 KM",Silver,Yes,2009,"1,81,000"
Maruti Suzuki, Omni 8 STR BS III ,Kolkata,Petrol,"42,000 KM",White,No,2007,"1,10,000"
Mahindra, Xylo E8 BS IV ,Kolkata,Diesel,"52,000 KM",White,Yes,2012,"5,50,001"
Mahindra, Quanto C8 ,Kolkata,Diesel,"44,121 KM",Green,Yes,2013,"2,45,101"
Toyota, Innova 2.5 G (Diesel) 8 STR Euro3 ,Howrah,Diesel,"1,65,000 KM",Silver,Yes,2012,"7,25,000"
Mahindra, Bolero Power Plus ZLX ,Howrah,Diesel,"56,000 KM",White,Yes,2014,"6,00,000"
Hyundai, Grand i10 Sportz 1.2 VTVT Kappa Petrol ,Kolkata,Petrol,"10,000 KM",Grey,Yes,2016,"4,35,000"
Hyundai, Eon D-Lite + ,Kolkata,Petrol,"16,700 KM",Red,Yes,2014,"1,65,000"
Maruti Suzuki, Wagon R LXI ,Kolkata,Petrol,"47,000 KM",Blue,Yes,2009,"1,38,000"
Hyundai, Elite i20 1.2 Kappa VTVT Asta Petrol ,Kolkata,Petrol,"46,483 KM",Red,Yes,2015,"5,24,999"
Hyundai, Eon D-Lite + ,Kolkata,Petrol,"19,500 KM",Red,Yes,2013,"2,00,000"
Toyota, Etios GD ,Howrah,Diesel,"1,40,000 KM",Silver,Yes,2014,"3,80,000"
Maruti Suzuki, Wagon R 1.0 MC LXI ,Kolkata,Petrol,"33,000 KM",Grey,Yes,2013,"2,80,000"
Fiat, Grande Punto Emotion 1.3 ,Kolkata,Diesel,"90,000 KM",Blue,Yes,2009,"1,70,000"
Honda, Amaze S MT Diesel ,Kolkata,Diesel,"40,000 KM",White,Yes,2014,"3,90,000"
Honda, Amaze S MT Diesel ,Kolkata,Diesel,"40,000 KM",Maroon,Yes,2014,"4,10,000"
Volkswagen, Vento 1.6L MT Highline Diesel ,Kolkata,Diesel,"88,000 KM",White,Yes,2013,"3,50,000"
Maruti Suzuki, Swift Dzire VXi ,New Delhi,Petrol+Cng,"60,362 KM",Silver,Yes,2009,"2,60,000"
Maruti Suzuki, Swift VDi ,New Delhi,Diesel,"62,259 KM",Silver,Yes,2012,"3,70,000"
Honda, Amaze E MT Diesel ,New Delhi,Diesel,"80,470 KM",Silver,Yes,2014,"4,10,000"
Maruti Suzuki, Ritz Lxi BS IV ,New Delhi,Petrol,"70,555 KM",Silver,Yes,2012,"2,60,000"
Hyundai, i20 Magna 1.4 CRDI ,New Delhi,Diesel,"73,500 KM",Gold,Yes,2011,"2,90,000"
Honda, City VX(O) 1.5L i-VTEC Sunroof ,New Delhi,Petrol,"28,000 KM",White,Yes,2016,"9,40,000"
Honda, Accord 2008 2.4 AT ,New Delhi,Petrol,"55,000 KM",Gold,Yes,2010,"5,25,000"
Hyundai, Verna Fluidic 1.6 VTVT ,New Delhi,Petrol,"85,000 KM",Gold,Yes,2013,"5,25,000"
Hyundai, Creta SX(O) 1.6 CRDI VGT ,New Delhi,Diesel,"30,000 KM",Silver,Yes,2016,"13,50,000"
Volkswagen, Touareg 3.0 V6 TDI ,New Delhi,Diesel,"75,000 KM",Green,Yes,2009,"8,99,999"
Maruti Suzuki, Vitara Brezza ZDI ,New Delhi,Diesel,"16,000 KM",Red,Yes,2016,"9,00,000"
Audi, A6 2.0 TDI Premium+ ,New Delhi,Diesel,"45,000 KM",White,Yes,2014,"24,25,000"
Audi, Q7 3.0 TDI quattro Premium ,New Delhi,Diesel,"64,000 KM",Black,Yes,2012,"21,75,000"
Audi, Q5 2.0 TDI Quattro Premium+ ,New Delhi,Diesel,"42,000 KM",White,Yes,2014,"28,00,000"
Mercedes Benz, E Class 200 K Elegance ,New Delhi,Petrol,"59,500 KM",White,Yes,2013,"16,00,000"
BMW, 5 Series 520d Sedan ,New Delhi,Diesel,"60,000 KM",Grey,Yes,2012,"19,90,000"
Hyundai, i20 Magna 1.2 ,New Delhi,Petrol+Cng,"53,000 KM",White,Yes,2010,"2,75,000"
Mahindra, Scorpio SLE BS IV ,New Delhi,Diesel,"62,000 KM",White,Yes,2011,"5,15,000"
Skoda, Rapid Active 1.6 MPI MT ,New Delhi,Petrol,"59,421 KM",Silver,Yes,2014,"4,30,001"
Honda, Amaze S AT Petrol ,New Delhi,Petrol,"35,594 KM",White,Yes,2014,"4,50,000"
Honda, Brio S MT ,New Delhi,Petrol,"18,509 KM",Silver,Yes,2014,"3,70,000"
Honda, Brio S MT ,New Delhi,Petrol,"29,346 KM",Red,Yes,2014,"3,95,000"
Hyundai, Xcent 1.2L Kappa Dual VTVT 5-Speed Manual S ,New Delhi,Petrol,"32,786 KM",Red,Yes,2014,"3,95,000"
Hyundai, Grand i10 Magna 1.2 VTVT Kappa Petrol ,New Delhi,Petrol,"32,000 KM",Blue,Yes,2016,"4,10,000"
Hyundai, Grand i10 Sportz 1.2 VTVT Kappa Petrol ,New Delhi,Petrol,"29,754 KM",White,Yes,2016,"4,70,000"
Hyundai, Grand i10 Magna U2 1.2 CRDi ,New Delhi,Diesel,"22,336 KM",Grey,Yes,2015,"4,50,000"
Maruti Suzuki, Swift Dzire LDi ,New Delhi,Diesel,"40,664 KM",White,Yes,2013,"4,10,000"
Maruti Suzuki, Wagon R 1.0 MC LXI ,New Delhi,Petrol,"26,096 KM",Grey,Yes,2014,"3,05,001"
Maruti Suzuki, Wagon R 1.0 MC LXI ,New Delhi,Petrol,"42,816 KM",White,Yes,2013,"2,70,000"
Mercedes Benz, E Class E250 CDI Launch Edition ,New Delhi,Diesel,"29,000 KM",Silver,Yes,2014,"27,90,000"
Maruti Suzuki, Swift VDi ,New Delhi,Diesel,"65,000 KM",White,Yes,2014,"4,50,000"
Mercedes Benz, GL 350 CDI BlueEFFICIENCY ,New Delhi,Diesel,"69,000 KM",Black,Yes,2011,"21,00,000"
Renault, Duster RxL Diesel 85PS ,New Delhi,Diesel,"49,551 KM",Silver,Yes,2013,"5,15,000"
Maruti Suzuki, Wagon R LXI ,New Delhi,Petrol,"61,778 KM",Silver,Yes,2008,"1,25,000"
Honda, Amaze VX MT Diesel ,New Delhi,Diesel,"69,476 KM",White,Yes,2013,"3,95,000"
Audi, Q5 2.0 TDI quattro ,New Delhi,Diesel,"1,15,000 KM",White,Yes,2012,"14,90,000"
Honda, City VX 1.5L i-VTEC ,New Delhi,Petrol,"28,000 KM",White,Yes,2016,"8,20,000"
Honda, City 1.5 S MT ,New Delhi,Petrol,"62,000 KM",Gold,Yes,2009,"3,35,000"
Fiat, Punto Emotion 1.3 ,New Delhi,Diesel,"49,000 KM",Grey,Yes,2012,"2,45,000"
Maruti Suzuki, Alto K10 VXi ,New Delhi,Petrol,"40,000 KM",Gold,Yes,2012,"2,35,000"
Honda, City VX(O) 1.5L i-VTEC Sunroof ,New Delhi,Petrol,"62,000 KM",White,Yes,2014,"6,90,000"
Honda, CR V 2.4 AT ,New Delhi,Petrol,"78,000 KM",White,Yes,2010,"7,90,000"
Honda, CR V 2.0 2WD AT ,New Delhi,Petrol,"70,000 KM",Silver,Yes,2014,"13,00,000"
Jeep, Compass Limited (O) 1.4 Petrol AT ,New Delhi,Petrol,"4,000 KM",Red,Yes,2018,"20,90,000"
Maruti Suzuki, Swift Dzire VXi ,New Delhi,Petrol+Cng,"60,362 KM",Silver,Yes,2009,"2,60,000"
Maruti Suzuki, Swift VDi ,New Delhi,Diesel,"62,259 KM",Silver,Yes,2012,"3,70,000"
Honda, Amaze E MT Diesel ,New Delhi,Diesel,"80,470 KM",Silver,Yes,2014,"4,10,000"
Maruti Suzuki, Ritz Lxi BS IV ,New Delhi,Petrol,"70,555 KM",Silver,Yes,2012,"2,60,000"
Hyundai, i20 Magna 1.4 CRDI ,New Delhi,Diesel,"73,500 KM",Gold,Yes,2011,"2,90,000"
Honda, City VX(O) 1.5L i-VTEC Sunroof ,New Delhi,Petrol,"28,000 KM",White,Yes,2016,"9,40,000"
Honda, Accord 2008 2.4 AT ,New Delhi,Petrol,"55,000 KM",Gold,Yes,2010,"5,25,000"
Hyundai, Verna Fluidic 1.6 VTVT ,New Delhi,Petrol,"85,000 KM",Gold,Yes,2013,"5,25,000"
Hyundai, Creta SX(O) 1.6 CRDI VGT ,New Delhi,Diesel,"30,000 KM",Silver,Yes,2016,"13,50,000"
Volkswagen, Touareg 3.0 V6 TDI ,New Delhi,Diesel,"75,000 KM",Green,Yes,2009,"8,99,999"
Maruti Suzuki, Vitara Brezza ZDI ,New Delhi,Diesel,"16,000 KM",Red,Yes,2016,"9,00,000"
Audi, A6 2.0 TDI Premium+ ,New Delhi,Diesel,"45,000 KM",White,Yes,2014,"24,25,000"
Audi, Q7 3.0 TDI quattro Premium ,New Delhi,Diesel,"64,000 KM",Black,Yes,2012,"21,75,000"
Audi, Q5 2.0 TDI Quattro Premium+ ,New Delhi,Diesel,"42,000 KM",White,Yes,2014,"28,00,000"
Mercedes Benz, E Class 200 K Elegance ,New Delhi,Petrol,"59,500 KM",White,Yes,2013,"16,00,000"
BMW, 5 Series 520d Sedan ,New Delhi,Diesel,"60,000 KM",Grey,Yes,2012,"19,90,000"
Hyundai, i20 Magna 1.2 ,New Delhi,Petrol+Cng,"53,000 KM",White,Yes,2010,"2,75,000"
Mahindra, Scorpio SLE BS IV ,New Delhi,Diesel,"62,000 KM",White,Yes,2011,"5,15,000"
Skoda, Rapid Active 1.6 MPI MT ,New Delhi,Petrol,"59,421 KM",Silver,Yes,2014,"4,30,001"
Honda, Amaze S AT Petrol ,New Delhi,Petrol,"35,594 KM",White,Yes,2014,"4,50,000"
Honda, Brio S MT ,New Delhi,Petrol,"18,509 KM",Silver,Yes,2014,"3,70,000"
Honda, Brio S MT ,New Delhi,Petrol,"29,346 KM",Red,Yes,2014,"3,95,000"
Hyundai, Xcent 1.2L Kappa Dual VTVT 5-Speed Manual S ,New Delhi,Petrol,"32,786 KM",Red,Yes,2014,"3,95,000"
Hyundai, Grand i10 Magna 1.2 VTVT Kappa Petrol ,New Delhi,Petrol,"32,000 KM",Blue,Yes,2016,"4,10,000"
Hyundai, Grand i10 Sportz 1.2 VTVT Kappa Petrol ,New Delhi,Petrol,"29,754 KM",White,Yes,2016,"4,70,000"
Hyundai, Grand i10 Magna U2 1.2 CRDi ,New Delhi,Diesel,"22,336 KM",Grey,Yes,2015,"4,50,000"
Maruti Suzuki, Swift Dzire LDi ,New Delhi,Diesel,"40,664 KM",White,Yes,2013,"4,10,000"
Maruti Suzuki, Wagon R 1.0 MC LXI ,New Delhi,Petrol,"26,096 KM",Grey,Yes,2014,"3,05,001"
Maruti Suzuki, Wagon R 1.0 MC LXI ,New Delhi,Petrol,"42,816 KM",White,Yes,2013,"2,70,000"
Mercedes Benz, E Class E250 CDI Launch Edition ,New Delhi,Diesel,"29,000 KM",Silver,Yes,2014,"27,90,000"
Maruti Suzuki, Swift VDi ,New Delhi,Diesel,"65,000 KM",White,Yes,2014,"4,50,000"
Mercedes Benz, GL 350 CDI BlueEFFICIENCY ,New Delhi,Diesel,"69,000 KM",Black,Yes,2011,"21,00,000"
Renault, Duster RxL Diesel 85PS ,New Delhi,Diesel,"49,551 KM",Silver,Yes,2013,"5,15,000"
Maruti Suzuki, Wagon R LXI ,New Delhi,Petrol,"61,778 KM",Silver,Yes,2008,"1,25,000"
Honda, Amaze VX MT Diesel ,New Delhi,Diesel,"69,476 KM",White,Yes,2013,"3,95,000"
Audi, Q5 2.0 TDI quattro ,New Delhi,Diesel,"1,15,000 KM",White,Yes,2012,"14,90,000"
Honda, City VX 1.5L i-VTEC ,New Delhi,Petrol,"28,000 KM",White,Yes,2016,"8,20,000"
Honda, City 1.5 S MT ,New Delhi,Petrol,"62,000 KM",Gold,Yes,2009,"3,35,000"
Fiat, Punto Emotion 1.3 ,New Delhi,Diesel,"49,000 KM",Grey,Yes,2012,"2,45,000"
Maruti Suzuki, Alto K10 VXi ,New Delhi,Petrol,"40,000 KM",Gold,Yes,2012,"2,35,000"
Honda, City VX(O) 1.5L i-VTEC Sunroof ,New Delhi,Petrol,"62,000 KM",White,Yes,2014,"6,90,000"
Honda, CR V 2.4 AT ,New Delhi,Petrol,"78,000 KM",White,Yes,2010,"7,90,000"
Honda, CR V 2.0 2WD AT ,New Delhi,Petrol,"70,000 KM",Silver,Yes,2014,"13,00,000"
Jeep, Compass Limited (O) 1.4 Petrol AT ,New Delhi,Petrol,"4,000 KM",Red,Yes,2018,"20,90,000"
Maruti Suzuki, Swift Dzire VXi ,New Delhi,Petrol+Cng,"60,362 KM",Silver,Yes,2009,"2,60,000"
Maruti Suzuki, Swift VDi ,New Delhi,Diesel,"62,259 KM",Silver,Yes,2012,"3,70,000"
Honda, Amaze E MT Diesel ,New Delhi,Diesel,"80,470 KM",Silver,Yes,2014,"4,10,000"
Maruti Suzuki, Ritz Lxi BS IV ,New Delhi,Petrol,"70,555 KM",Silver,Yes,2012,"2,60,000"
Hyundai, i20 Magna 1.4 CRDI ,New Delhi,Diesel,"73,500 KM",Gold,Yes,2011,"2,90,000"
Honda, City VX(O) 1.5L i-VTEC Sunroof ,New Delhi,Petrol,"28,000 KM",White,Yes,2016,"9,40,000"
Honda, Accord 2008 2.4 AT ,New Delhi,Petrol,"55,000 KM",Gold,Yes,2010,"5,25,000"
Hyundai, Verna Fluidic 1.6 VTVT ,New Delhi,Petrol,"85,000 KM",Gold,Yes,2013,"5,25,000"
Hyundai, Creta SX(O) 1.6 CRDI VGT ,New Delhi,Diesel,"30,000 KM",Silver,Yes,2016,"13,50,000"
Volkswagen, Touareg 3.0 V6 TDI ,New Delhi,Diesel,"75,000 KM",Green,Yes,2009,"8,99,999"
Maruti Suzuki, Vitara Brezza ZDI ,New Delhi,Diesel,"16,000 KM",Red,Yes,2016,"9,00,000"
Audi, A6 2.0 TDI Premium+ ,New Delhi,Diesel,"45,000 KM",White,Yes,2014,"24,25,000"
Audi, Q7 3.0 TDI quattro Premium ,New Delhi,Diesel,"64,000 KM",Black,Yes,2012,"21,75,000"
Audi, Q5 2.0 TDI Quattro Premium+ ,New Delhi,Diesel,"42,000 KM",White,Yes,2014,"28,00,000"
Mercedes Benz, E Class 200 K Elegance ,New Delhi,Petrol,"59,500 KM",White,Yes,2013,"16,00,000"
BMW, 5 Series 520d Sedan ,New Delhi,Diesel,"60,000 KM",Grey,Yes,2012,"19,90,000"
Hyundai, i20 Magna 1.2 ,New Delhi,Petrol+Cng,"53,000 KM",White,Yes,2010,"2,75,000"
Mahindra, Scorpio SLE BS IV ,New Delhi,Diesel,"62,000 KM",White,Yes,2011,"5,15,000"
Skoda, Rapid Active 1.6 MPI MT ,New Delhi,Petrol,"59,421 KM",Silver,Yes,2014,"4,30,001"
Honda, Amaze S AT Petrol ,New Delhi,Petrol,"35,594 KM",White,Yes,2014,"4,50,000"
Honda, Brio S MT ,New Delhi,Petrol,"18,509 KM",Silver,Yes,2014,"3,70,000"
Honda, Brio S MT ,New Delhi,Petrol,"29,346 KM",Red,Yes,2014,"3,95,000"
Hyundai, Xcent 1.2L Kappa Dual VTVT 5-Speed Manual S ,New Delhi,Petrol,"32,786 KM",Red,Yes,2014,"3,95,000"
Hyundai, Grand i10 Magna 1.2 VTVT Kappa Petrol ,New Delhi,Petrol,"32,000 KM",Blue,Yes,2016,"4,10,000"
Hyundai, Grand i10 Sportz 1.2 VTVT Kappa Petrol ,New Delhi,Petrol,"29,754 KM",White,Yes,2016,"4,70,000"
Hyundai, Grand i10 Magna U2 1.2 CRDi ,New Delhi,Diesel,"22,336 KM",Grey,Yes,2015,"4,50,000"
Maruti Suzuki, Swift Dzire LDi ,New Delhi,Diesel,"40,664 KM",White,Yes,2013,"4,10,000"
Maruti Suzuki, Wagon R 1.0 MC LXI ,New Delhi,Petrol,"26,096 KM",Grey,Yes,2014,"3,05,001"
Maruti Suzuki, Wagon R 1.0 MC LXI ,New Delhi,Petrol,"42,816 KM",White,Yes,2013,"2,70,000"
Mercedes Benz, E Class E250 CDI Launch Edition ,New Delhi,Diesel,"29,000 KM",Silver,Yes,2014,"27,90,000"
Maruti Suzuki, Swift VDi ,New Delhi,Diesel,"65,000 KM",White,Yes,2014,"4,50,000"
Mercedes Benz, GL 350 CDI BlueEFFICIENCY ,New Delhi,Diesel,"69,000 KM",Black,Yes,2011,"21,00,000"
Renault, Duster RxL Diesel 85PS ,New Delhi,Diesel,"49,551 KM",Silver,Yes,2013,"5,15,000"
Maruti Suzuki, Wagon R LXI ,New Delhi,Petrol,"61,778 KM",Silver,Yes,2008,"1,25,000"
Honda, Amaze VX MT Diesel ,New Delhi,Diesel,"69,476 KM",White,Yes,2013,"3,95,000"
Audi, Q5 2.0 TDI quattro ,New Delhi,Diesel,"1,15,000 KM",White,Yes,2012,"14,90,000"
Honda, City VX 1.5L i-VTEC ,New Delhi,Petrol,"28,000 KM",White,Yes,2016,"8,20,000"
Honda, City 1.5 S MT ,New Delhi,Petrol,"62,000 KM",Gold,Yes,2009,"3,35,000"
Fiat, Punto Emotion 1.3 ,New Delhi,Diesel,"49,000 KM",Grey,Yes,2012,"2,45,000"
Maruti Suzuki, Alto K10 VXi ,New Delhi,Petrol,"40,000 KM",Gold,Yes,2012,"2,35,000"
Honda, City VX(O) 1.5L i-VTEC Sunroof ,New Delhi,Petrol,"62,000 KM",White,Yes,2014,"6,90,000"
Honda, CR V 2.4 AT ,New Delhi,Petrol,"78,000 KM",White,Yes,2010,"7,90,000"
Honda, CR V 2.0 2WD AT ,New Delhi,Petrol,"70,000 KM",Silver,Yes,2014,"13,00,000"
Jeep, Compass Limited (O) 1.4 Petrol AT ,New Delhi,Petrol,"4,000 KM",Red,Yes,2018,"20,90,000"
Maruti Suzuki, Swift Dzire VXi ,New Delhi,Petrol+Cng,"60,362 KM",Silver,Yes,2009,"2,60,000"
Maruti Suzuki, Swift VDi ,New Delhi,Diesel,"62,259 KM",Silver,Yes,2012,"3,70,000"
Honda, Amaze E MT Diesel ,New Delhi,Diesel,"80,470 KM",Silver,Yes,2014,"4,10,000"
Maruti Suzuki, Ritz Lxi BS IV ,New Delhi,Petrol,"70,555 KM",Silver,Yes,2012,"2,60,000"
Hyundai, i20 Magna 1.4 CRDI ,New Delhi,Diesel,"73,500 KM",Gold,Yes,2011,"2,90,000"
Honda, City VX(O) 1.5L i-VTEC Sunroof ,New Delhi,Petrol,"28,000 KM",White,Yes,2016,"9,40,000"
Honda, Accord 2008 2.4 AT ,New Delhi,Petrol,"55,000 KM",Gold,Yes,2010,"5,25,000"
Hyundai, Verna Fluidic 1.6 VTVT ,New Delhi,Petrol,"85,000 KM",Gold,Yes,2013,"5,25,000"
Hyundai, Creta SX(O) 1.6 CRDI VGT ,New Delhi,Diesel,"30,000 KM",Silver,Yes,2016,"13,50,000"
Volkswagen, Touareg 3.0 V6 TDI ,New Delhi,Diesel,"75,000 KM",Green,Yes,2009,"8,99,999"
Maruti Suzuki, Vitara Brezza ZDI ,New Delhi,Diesel,"16,000 KM",Red,Yes,2016,"9,00,000"
Audi, A6 2.0 TDI Premium+ ,New Delhi,Diesel,"45,000 KM",White,Yes,2014,"24,25,000"
Audi, Q7 3.0 TDI quattro Premium ,New Delhi,Diesel,"64,000 KM",Black,Yes,2012,"21,75,000"
Audi, Q5 2.0 TDI Quattro Premium+ ,New Delhi,Diesel,"42,000 KM",White,Yes,2014,"28,00,000"
Mercedes Benz, E Class 200 K Elegance ,New Delhi,Petrol,"59,500 KM",White,Yes,2013,"16,00,000"
BMW, 5 Series 520d Sedan ,New Delhi,Diesel,"60,000 KM",Grey,Yes,2012,"19,90,000"
Hyundai, i20 Magna 1.2 ,New Delhi,Petrol+Cng,"53,000 KM",White,Yes,2010,"2,75,000"
Mahindra, Scorpio SLE BS IV ,New Delhi,Diesel,"62,000 KM",White,Yes,2011,"5,15,000"
Skoda, Rapid Active 1.6 MPI MT ,New Delhi,Petrol,"59,421 KM",Silver,Yes,2014,"4,30,001"
Honda, Amaze S AT Petrol ,New Delhi,Petrol,"35,594 KM",White,Yes,2014,"4,50,000"
Honda, Brio S MT ,New Delhi,Petrol,"18,509 KM",Silver,Yes,2014,"3,70,000"
Honda, Brio S MT ,New Delhi,Petrol,"29,346 KM",Red,Yes,2014,"3,95,000"
Hyundai, Xcent 1.2L Kappa Dual VTVT 5-Speed Manual S ,New Delhi,Petrol,"32,786 KM",Red,Yes,2014,"3,95,000"
Hyundai, Grand i10 Magna 1.2 VTVT Kappa Petrol ,New Delhi,Petrol,"32,000 KM",Blue,Yes,2016,"4,10,000"
Hyundai, Grand i10 Sportz 1.2 VTVT Kappa Petrol ,New Delhi,Petrol,"29,754 KM",White,Yes,2016,"4,70,000"
Hyundai, Grand i10 Magna U2 1.2 CRDi ,New Delhi,Diesel,"22,336 KM",Grey,Yes,2015,"4,50,000"
Maruti Suzuki, Swift Dzire LDi ,New Delhi,Diesel,"40,664 KM",White,Yes,2013,"4,10,000"
Maruti Suzuki, Wagon R 1.0 MC LXI ,New Delhi,Petrol,"26,096 KM",Grey,Yes,2014,"3,05,001"
Maruti Suzuki, Wagon R 1.0 MC LXI ,New Delhi,Petrol,"42,816 KM",White,Yes,2013,"2,70,000"
Mercedes Benz, E Class E250 CDI Launch Edition ,New Delhi,Diesel,"29,000 KM",Silver,Yes,2014,"27,90,000"
Maruti Suzuki, Swift VDi ,New Delhi,Diesel,"65,000 KM",White,Yes,2014,"4,50,000"
Mercedes Benz, GL 350 CDI BlueEFFICIENCY ,New Delhi,Diesel,"69,000 KM",Black,Yes,2011,"21,00,000"
Renault, Duster RxL Diesel 85PS ,New Delhi,Diesel,"49,551 KM",Silver,Yes,2013,"5,15,000"
Maruti Suzuki, Wagon R LXI ,New Delhi,Petrol,"61,778 KM",Silver,Yes,2008,"1,25,000"
Honda, Amaze VX MT Diesel ,New Delhi,Diesel,"69,476 KM",White,Yes,2013,"3,95,000"
Audi, Q5 2.0 TDI quattro ,New Delhi,Diesel,"1,15,000 KM",White,Yes,2012,"14,90,000"
Honda, City VX 1.5L i-VTEC ,New Delhi,Petrol,"28,000 KM",White,Yes,2016,"8,20,000"
Honda, City 1.5 S MT ,New Delhi,Petrol,"62,000 KM",Gold,Yes,2009,"3,35,000"
Fiat, Punto Emotion 1.3 ,New Delhi,Diesel,"49,000 KM",Grey,Yes,2012,"2,45,000"
Maruti Suzuki, Alto K10 VXi ,New Delhi,Petrol,"40,000 KM",Gold,Yes,2012,"2,35,000"
Honda, City VX(O) 1.5L i-VTEC Sunroof ,New Delhi,Petrol,"62,000 KM",White,Yes,2014,"6,90,000"
Honda, CR V 2.4 AT ,New Delhi,Petrol,"78,000 KM",White,Yes,2010,"7,90,000"
Honda, CR V 2.0 2WD AT ,New Delhi,Petrol,"70,000 KM",Silver,Yes,2014,"13,00,000"
Jeep, Compass Limited (O) 1.4 Petrol AT ,New Delhi,Petrol,"4,000 KM",Red,Yes,2018,"20,90,000"
Maruti Suzuki, Swift Dzire VXi ,New Delhi,Petrol+Cng,"60,362 KM",Silver,Yes,2009,"2,60,000"
Maruti Suzuki, Swift VDi ,New Delhi,Diesel,"62,259 KM",Silver,Yes,2012,"3,70,000"
Honda, Amaze E MT Diesel ,New Delhi,Diesel,"80,470 KM",Silver,Yes,2014,"4,10,000"
Maruti Suzuki, Ritz Lxi BS IV ,New Delhi,Petrol,"70,555 KM",Silver,Yes,2012,"2,60,000"
Hyundai, i20 Magna 1.4 CRDI ,New Delhi,Diesel,"73,500 KM",Gold,Yes,2011,"2,90,000"
Honda, City VX(O) 1.5L i-VTEC Sunroof ,New Delhi,Petrol,"28,000 KM",White,Yes,2016,"9,40,000"
Honda, Accord 2008 2.4 AT ,New Delhi,Petrol,"55,000 KM",Gold,Yes,2010,"5,25,000"
Hyundai, Verna Fluidic 1.6 VTVT ,New Delhi,Petrol,"85,000 KM",Gold,Yes,2013,"5,25,000"
Hyundai, Creta SX(O) 1.6 CRDI VGT ,New Delhi,Diesel,"30,000 KM",Silver,Yes,2016,"13,50,000"
Volkswagen, Touareg 3.0 V6 TDI ,New Delhi,Diesel,"75,000 KM",Green,Yes,2009,"8,99,999"
Maruti Suzuki, Vitara Brezza ZDI ,New Delhi,Diesel,"16,000 KM",Red,Yes,2016,"9,00,000"
Audi, A6 2.0 TDI Premium+ ,New Delhi,Diesel,"45,000 KM",White,Yes,2014,"24,25,000"
Audi, Q7 3.0 TDI quattro Premium ,New Delhi,Diesel,"64,000 KM",Black,Yes,2012,"21,75,000"
Audi, Q5 2.0 TDI Quattro Premium+ ,New Delhi,Diesel,"42,000 KM",White,Yes,2014,"28,00,000"
Mercedes Benz, E Class 200 K Elegance ,New Delhi,Petrol,"59,500 KM",White,Yes,2013,"16,00,000"
BMW, 5 Series 520d Sedan ,New Delhi,Diesel,"60,000 KM",Grey,Yes,2012,"19,90,000"
Hyundai, i20 Magna 1.2 ,New Delhi,Petrol+Cng,"53,000 KM",White,Yes,2010,"2,75,000"
Mahindra, Scorpio SLE BS IV ,New Delhi,Diesel,"62,000 KM",White,Yes,2011,"5,15,000"
Skoda, Rapid Active 1.6 MPI MT ,New Delhi,Petrol,"59,421 KM",Silver,Yes,2014,"4,30,001"
Honda, Amaze S AT Petrol ,New Delhi,Petrol,"35,594 KM",White,Yes,2014,"4,50,000"
Honda, Brio S MT ,New Delhi,Petrol,"18,509 KM",Silver,Yes,2014,"3,70,000"
Honda, Brio S MT ,New Delhi,Petrol,"29,346 KM",Red,Yes,2014,"3,95,000"
